$CPC, Daily
      Date,       Open,       High,        Low,      Close,        Volume 
09/27/1995,     0.7900,     0.7900,     0.7900,     0.7900,             0 
09/28/1995,     0.6100,     0.6100,     0.6100,     0.6100,             0 
09/29/1995,     0.7800,     0.7800,     0.7800,     0.7800,             0 
10/02/1995,     0.8400,     0.8400,     0.8400,     0.8400,             0 
10/03/1995,     0.9900,     0.9900,     0.9900,     0.9900,             0 
10/04/1995,     0.8100,     0.8100,     0.8100,     0.8100,             0 
10/05/1995,     0.9700,     0.9700,     0.9700,     0.9700,             0 
10/06/1995,     1.0400,     1.0400,     1.0400,     1.0400,             0 
10/09/1995,     1.0500,     1.0500,     1.0500,     1.0500,             0 
10/10/1995,     1.0400,     1.0400,     1.0400,     1.0400,             0 
10/11/1995,     0.6800,     0.6800,     0.6800,     0.6800,             0 
10/12/1995,     0.6300,     0.6300,     0.6300,     0.6300,             0 
10/13/1995,     0.7600,     0.7600,     0.7600,     0.7600,             0 
10/16/1995,     0.8700,     0.8700,     0.8700,     0.8700,             0 
10/17/1995,     0.7600,     0.7600,     0.7600,     0.7600,             0 
10/18/1995,     0.6300,     0.6300,     0.6300,     0.6300,             0 
10/19/1995,     0.6300,     0.6300,     0.6300,     0.6300,             0 
10/20/1995,     0.7900,     0.7900,     0.7900,     0.7900,             0 
10/23/1995,     0.8300,     0.8300,     0.8300,     0.8300,             0 
10/24/1995,     0.7300,     0.7300,     0.7300,     0.7300,             0 
10/25/1995,     0.9600,     0.9600,     0.9600,     0.9600,             0 
10/26/1995,     0.9600,     0.9600,     0.9600,     0.9600,             0 
10/27/1995,     0.9100,     0.9100,     0.9100,     0.9100,             0 
10/30/1995,     0.8400,     0.8400,     0.8400,     0.8400,             0 
10/31/1995,     0.8800,     0.8800,     0.8800,     0.8800,             0 
11/01/1995,     0.8000,     0.8000,     0.8000,     0.8000,             0 
11/02/1995,     0.6800,     0.6800,     0.6800,     0.6800,             0 
11/03/1995,     0.7300,     0.7300,     0.7300,     0.7300,             0 
11/06/1995,     0.7000,     0.7000,     0.7000,     0.7000,             0 
11/07/1995,     0.8100,     0.8100,     0.8100,     0.8100,             0 
11/08/1995,     0.7400,     0.7400,     0.7400,     0.7400,             0 
11/09/1995,     0.7000,     0.7000,     0.7000,     0.7000,             0 
11/10/1995,     0.7500,     0.7500,     0.7500,     0.7500,             0 
11/13/1995,     0.8700,     0.8700,     0.8700,     0.8700,             0 
11/14/1995,     0.9200,     0.9200,     0.9200,     0.9200,             0 
11/15/1995,     0.8600,     0.8600,     0.8600,     0.8600,             0 
11/16/1995,     0.7500,     0.7500,     0.7500,     0.7500,             0 
11/17/1995,     0.7400,     0.7400,     0.7400,     0.7400,             0 
11/20/1995,     0.8300,     0.8300,     0.8300,     0.8300,             0 
11/21/1995,     0.7400,     0.7400,     0.7400,     0.7400,             0 
11/22/1995,     0.7600,     0.7600,     0.7600,     0.7600,             0 
11/24/1995,     0.6800,     0.6800,     0.6800,     0.6800,             0 
11/27/1995,     0.7500,     0.7500,     0.7500,     0.7500,             0 
11/28/1995,     0.8100,     0.8100,     0.8100,     0.8100,             0 
11/29/1995,     0.6200,     0.6200,     0.6200,     0.6200,             0 
11/30/1995,     0.7500,     0.7500,     0.7500,     0.7500,             0 
12/01/1995,     0.7300,     0.7300,     0.7300,     0.7300,             0 
12/04/1995,     0.7600,     0.7600,     0.7600,     0.7600,             0 
12/05/1995,     0.7900,     0.7900,     0.7900,     0.7900,             0 
12/06/1995,     0.8200,     0.8200,     0.8200,     0.8200,             0 
12/07/1995,     0.9700,     0.9700,     0.9700,     0.9700,             0 
12/08/1995,     0.8600,     0.8600,     0.8600,     0.8600,             0 
12/11/1995,     0.7900,     0.7900,     0.7900,     0.7900,             0 
12/12/1995,     0.5800,     0.5800,     0.5800,     0.5800,             0 
12/13/1995,     0.7000,     0.7000,     0.7000,     0.7000,             0 
12/14/1995,     0.9300,     0.9300,     0.9300,     0.9300,             0 
12/15/1995,     1.0200,     1.0200,     1.0200,     1.0200,             0 
12/18/1995,     0.9400,     0.9400,     0.9400,     0.9400,             0 
12/19/1995,     0.8100,     0.8100,     0.8100,     0.8100,             0 
12/20/1995,     0.7500,     0.7500,     0.7500,     0.7500,             0 
12/21/1995,     0.8500,     0.8500,     0.8500,     0.8500,             0 
12/22/1995,     0.5800,     0.5800,     0.5800,     0.5800,             0 
12/26/1995,     0.4900,     0.4900,     0.4900,     0.4900,             0 
12/27/1995,     0.6200,     0.6200,     0.6200,     0.6200,             0 
12/28/1995,     0.6200,     0.6200,     0.6200,     0.6200,             0 
12/29/1995,     0.7000,     0.7000,     0.7000,     0.7000,             0 
01/02/1996,     0.6400,     0.6400,     0.6400,     0.6400,             0 
01/03/1996,     0.6900,     0.6900,     0.6900,     0.6900,             0 
01/04/1996,     1.0400,     1.0400,     1.0400,     1.0400,             0 
01/05/1996,     0.8500,     0.8500,     0.8500,     0.8500,             0 
01/08/1996,     0.7600,     0.7600,     0.7600,     0.7600,             0 
01/09/1996,     0.9600,     0.9600,     0.9600,     0.9600,             0 
01/10/1996,     1.0300,     1.0300,     1.0300,     1.0300,             0 
01/11/1996,     0.8400,     0.8400,     0.8400,     0.8400,             0 
01/12/1996,     0.9200,     0.9200,     0.9200,     0.9200,             0 
01/15/1996,     1.0300,     1.0300,     1.0300,     1.0300,             0 
01/16/1996,     0.8400,     0.8400,     0.8400,     0.8400,             0 
01/17/1996,     0.7900,     0.7900,     0.7900,     0.7900,             0 
01/18/1996,     0.8400,     0.8400,     0.8400,     0.8400,             0 
01/19/1996,     0.5900,     0.5900,     0.5900,     0.5900,             0 
01/22/1996,     0.6500,     0.6500,     0.6500,     0.6500,             0 
01/23/1996,     0.6400,     0.6400,     0.6400,     0.6400,             0 
01/24/1996,     0.5800,     0.5800,     0.5800,     0.5800,             0 
