$CPCE, Daily
      Date,       Open,       High,        Low,      Close,        Volume 
10/17/2003,     0.4600,     0.4600,     0.4600,     0.4600,             0 
10/20/2003,     0.5200,     0.5200,     0.5200,     0.5200,             0 
10/21/2003,     0.5900,     0.5900,     0.5900,     0.5900,             0 
10/22/2003,     0.7700,     0.7700,     0.7700,     0.7700,             0 
10/23/2003,     0.7200,     0.7200,     0.7200,     0.7200,             0 
10/24/2003,     0.7900,     0.7900,     0.7900,     0.7900,             0 
10/27/2003,     0.5100,     0.5100,     0.5100,     0.5100,             0 
10/28/2003,     0.6600,     0.6600,     0.6600,     0.6600,             0 
10/29/2003,     0.5300,     0.5300,     0.5300,     0.5300,             0 
10/30/2003,     0.7000,     0.7000,     0.7000,     0.7000,             0 
10/31/2003,     1.0300,     1.0300,     1.0300,     1.0300,             0 
11/03/2003,     0.4700,     0.4700,     0.4700,     0.4700,             0 
11/04/2003,     0.4900,     0.4900,     0.4900,     0.4900,             0 
11/05/2003,     0.5500,     0.5500,     0.5500,     0.5500,             0 
11/06/2003,     0.6100,     0.6100,     0.6100,     0.6100,             0 
11/07/2003,     0.6100,     0.6100,     0.6100,     0.6100,             0 
11/10/2003,     0.7800,     0.7800,     0.7800,     0.7800,             0 
11/11/2003,     0.7300,     0.7300,     0.7300,     0.7300,             0 
11/12/2003,     0.6800,     0.6800,     0.6800,     0.6800,             0 
11/13/2003,     0.6300,     0.6300,     0.6300,     0.6300,             0 
11/14/2003,     0.5500,     0.5500,     0.5500,     0.5500,             0 
11/17/2003,     0.6500,     0.6500,     0.6500,     0.6500,             0 
11/18/2003,     0.6300,     0.6300,     0.6300,     0.6300,             0 
11/19/2003,     0.7700,     0.7700,     0.7700,     0.7700,             0 
11/20/2003,     0.6500,     0.6500,     0.6500,     0.6500,             0 
11/21/2003,     0.6600,     0.6600,     0.6600,     0.6600,             0 
11/24/2003,     0.5100,     0.5100,     0.5100,     0.5100,             0 
11/25/2003,     0.4800,     0.4800,     0.4800,     0.4800,             0 
11/26/2003,     0.5400,     0.5400,     0.5400,     0.5400,             0 
11/28/2003,     0.5500,     0.5500,     0.5500,     0.5500,             0 
12/01/2003,     0.5400,     0.5400,     0.5400,     0.5400,             0 
12/02/2003,     0.5200,     0.5200,     0.5200,     0.5200,             0 
12/03/2003,     0.7400,     0.7400,     0.7400,     0.7400,             0 
12/04/2003,     0.5700,     0.5700,     0.5700,     0.5700,             0 
12/05/2003,     0.6800,     0.6800,     0.6800,     0.6800,             0 
12/08/2003,     0.7100,     0.7100,     0.7100,     0.7100,             0 
12/09/2003,     0.5600,     0.5600,     0.5600,     0.5600,             0 
12/10/2003,     0.6900,     0.6900,     0.6900,     0.6900,             0 
12/11/2003,     0.5000,     0.5000,     0.5000,     0.5000,             0 
12/12/2003,     0.5000,     0.5000,     0.5000,     0.5000,             0 
12/15/2003,     0.5400,     0.5400,     0.5400,     0.5400,             0 
12/16/2003,     0.5000,     0.5000,     0.5000,     0.5000,             0 
12/17/2003,     0.4900,     0.4900,     0.4900,     0.4900,             0 
12/18/2003,     0.5100,     0.5100,     0.5100,     0.5100,             0 
12/19/2003,     0.6100,     0.6100,     0.6100,     0.6100,             0 
12/22/2003,     0.6100,     0.6100,     0.6100,     0.6100,             0 
12/23/2003,     0.5800,     0.5800,     0.5800,     0.5800,             0 
12/24/2003,     0.5000,     0.5000,     0.5000,     0.5000,             0 
12/26/2003,     0.3800,     0.3800,     0.3800,     0.3800,             0 
12/29/2003,     0.3800,     0.3800,     0.3800,     0.3800,             0 
12/30/2003,     0.3700,     0.3700,     0.3700,     0.3700,             0 
12/31/2003,     0.9500,     0.9500,     0.9500,     0.9500,             0 
01/02/2004,     0.5300,     0.5300,     0.5300,     0.5300,             0 
01/05/2004,     0.5300,     0.5300,     0.5300,     0.5300,             0 
01/06/2004,     0.4000,     0.4000,     0.4000,     0.4000,             0 
01/07/2004,     0.5100,     0.5100,     0.5100,     0.5100,             0 
01/08/2004,     0.5200,     0.5200,     0.5200,     0.5200,             0 
